epoch,train_noise_mse,val_noise_mse
1,0.5793502139435573,0.4749526873230934
2,0.47748651914298534,0.4431173786520958
3,0.44843329286033456,0.42179380655288695
4,0.38849638165398076,0.35239050835371016
5,0.3285725416446274,0.3098504990339279
6,0.3007666662504727,0.2825120769441128
7,0.27877077942883427,0.2603013202548027
8,0.2635025459934365,0.2532037429511547
9,0.25356473672119056,0.25448450446128845
10,0.25279422595419665,0.22162898108363152
11,0.2455310890112411,0.24709028527140617
12,0.24537591729313135,0.23903101459145545
13,0.24497605479237708,0.23763073608279228
14,0.24426294516094707,0.2391077108681202
15,0.24051137319342655,0.2427991583943367
16,0.24124427139759064,0.23360436484217645
17,0.24133204982023349,0.2535871177911758
18,0.24291473220695148,0.2419741153717041
19,0.242094539698552,0.23651620373129845
20,0.23663198626176876,0.23485349491238594
21,0.24191227140413088,0.23284268975257874
22,0.24626043760641056,0.24463217407464982
23,0.24325260223651474,0.23089279979467392
24,0.24056111428547988,0.24234241470694542
25,0.23660012376918035,0.24196266680955886
26,0.2399440114809708,0.2521836295723915
27,0.24408331504938277,0.231742674857378
28,0.23552779988809067,0.23379059359431267
29,0.23818496047434481,0.23313406035304068
30,0.23602170844308354,0.23959976062178612
31,0.2433531450277025,0.23672607839107512
32,0.23959147235886616,0.2395058535039425
33,0.23137116550721906,0.24289065599441528
34,0.2402362594888969,0.2388264410197735
35,0.23878118946132335,0.23452141731977463
36,0.23660166112875397,0.24146782383322715
37,0.23914332924918694,0.23283070772886277
38,0.24294388878413223,0.23509615138173104
39,0.2394941302693703,0.2438761807978153
40,0.23900522088462656,0.23755322322249411
41,0.23870945908129215,0.24318314269185065
42,0.2413415847854181,0.24030557721853257
43,0.23724509157579055,0.2348710000514984
44,0.24439297150820494,0.24350040033459663
45,0.2384189861741933,0.23854294940829276
46,0.2380256602032618,0.2317660130560398
47,0.23586203428831967,0.22921707555651666
48,0.23704104726626116,0.2409764349460602
49,0.23754956336183983,0.2350209727883339
50,0.2388250816782767,0.24806784242391586
51,0.23841846217824655,0.23359904885292054
52,0.23643259653313595,0.2445629879832268
53,0.23722910398448055,0.23808898031711578
54,0.23682454744861883,0.24902814477682114
55,0.2375682694837451,0.23998232707381248
56,0.23712289807471362,0.23349101096391678
57,0.23810454678129067,0.2404276207089424
58,0.23870180200108074,0.2266202986240387
59,0.2333207536827434,0.2416381925344467
60,0.23478224941275336,0.2430092640221119
61,0.2378259473056956,0.2330789089202881
62,0.23656880398365585,0.2400756560266018
63,0.23717080666260285,0.2418783962726593
64,0.23933693902059036,0.2489703319966793
65,0.23745837799188765,0.2368894897401333
66,0.2358023946766149,0.23650609999895095
67,0.23600058342245492,0.24110894799232482
68,0.2371708412062038,0.23289109542965888
69,0.23824162103913046,0.23284950330853463
70,0.2391541554507884,0.23425642400979996
71,0.23755550011992455,0.23604307025671006
72,0.23648822358386082,0.2328658975660801
73,0.2371259659359401,0.22207649573683738
74,0.23650152414021167,0.2225850872695446
75,0.23718950296328825,0.23854274079203605
76,0.23762926273047924,0.24505170956254005
77,0.23653189922598275,0.22676911652088166
78,0.2365914871069518,0.2337135024368763
79,0.23584469746459613,0.2359823003411293
80,0.23886604674837805,0.23785710334777832
81,0.23833354681052946,0.23767943903803826
82,0.23627695009451022,0.2377831794321537
83,0.2351592339744622,0.24495621472597123
84,0.23528567168184303,0.23086648434400558
85,0.2356066136536273,0.23240101039409639
86,0.2366030966355042,0.2329015128314495
87,0.2338187081569975,0.23081847950816153
88,0.23216124666346746,0.2366234116256237
89,0.23589090181683953,0.23732825517654418
90,0.233743413944136,0.24452363699674606
91,0.23744058710607616,0.23181111365556717
92,0.23764001806689936,0.23609564229846
93,0.23418136457489294,0.24240101575851442
94,0.23625523495403203,0.23433586284518243
95,0.23457721671597523,0.2304513067007065
96,0.23543560157784008,0.23094702884554863
97,0.23477733643217522,0.23466221615672112
98,0.23741138497875494,0.23185260072350503
99,0.23718293942511082,0.2408865250647068
100,0.23931505141610449,0.24814885705709458
