dataset,case,step,frame_index_in_file,time,source_file,x_top10mean,y_rank450mean_ascending
sorted_degree,LP1_0,301,0,0.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.5171555,180.0937692
sorted_degree,LP1_0,301,1,1.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.28380810000004,180.6618289
sorted_degree,LP1_0,301,2,2.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.79552449999994,179.6790851
sorted_degree,LP1_0,301,3,3.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.48351759999997,178.0651595
sorted_degree,LP1_0,301,4,4.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.02651979999996,181.022565
sorted_degree,LP1_0,301,5,5.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.9841609,179.32693189999998
sorted_degree,LP1_0,301,6,6.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.7843467,180.8935968
sorted_degree,LP1_0,301,7,7.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.8628808,181.3193338
sorted_degree,LP1_0,301,8,8.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.2445968,179.0928921
sorted_degree,LP1_0,301,9,9.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.41854889999996,179.177558
sorted_degree,LP1_0,301,10,10.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.0716684,180.01799880000002
sorted_degree,LP1_0,301,11,11.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.5503,179.84423550000002
sorted_degree,LP1_0,301,12,12.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.76135089999997,179.67031129999998
sorted_degree,LP1_0,301,13,13.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.46283550000004,178.1357729
sorted_degree,LP1_0,301,14,14.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.909673,180.00558750000002
sorted_degree,LP1_0,301,15,15.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.05012669999996,179.34729470000002
sorted_degree,LP1_0,301,16,16.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.83928929999996,180.1105507
sorted_degree,LP1_0,301,17,17.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.34894339999994,180.009175
sorted_degree,LP1_0,301,18,18.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.44722609999997,179.858382
sorted_degree,LP1_0,301,19,19.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.56871800000005,180.01087850000002
sorted_degree,LP1_0,301,20,20.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.4708832,179.3666269
sorted_degree,LP1_0,301,21,21.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.07122330000004,178.96383680000002
sorted_degree,LP1_0,301,22,22.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.3834034,180.7797218
sorted_degree,LP1_0,301,23,23.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.00413800000007,179.8585145
sorted_degree,LP1_0,301,24,24.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.7204507,181.40504669999999
sorted_degree,LP1_0,301,25,25.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.8765843,180.76903399999998
sorted_degree,LP1_0,301,26,26.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.1962631,180.35182719999997
sorted_degree,LP1_0,301,27,27.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.0917412,179.63339750000003
sorted_degree,LP1_0,301,28,28.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.24537380000004,181.0016266
sorted_degree,LP1_0,301,29,29.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.1515352,180.97324179999998
sorted_degree,LP1_0,301,30,30.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.72021920000003,180.01293139999999
sorted_degree,LP1_0,301,31,31.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.7091962,179.955797
sorted_degree,LP1_0,301,32,32.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.2470547,179.9175866
sorted_degree,LP1_0,301,33,33.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.7189941,180.02241759999998
sorted_degree,LP1_0,301,34,34.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.2257169,179.4322494
sorted_degree,LP1_0,301,35,35.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.8234528,181.29001980000004
sorted_degree,LP1_0,301,36,36.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.7985205,179.30503200000004
sorted_degree,LP1_0,301,37,37.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.34500119999996,178.4260152
sorted_degree,LP1_0,301,38,38.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.64021990000003,179.9862212
sorted_degree,LP1_0,301,39,39.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.0424101,179.2661411
sorted_degree,LP1_0,301,40,40.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.4388785,181.1027243
sorted_degree,LP1_0,301,41,41.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.572807,181.1958512
sorted_degree,LP1_0,301,42,42.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.7862395000001,180.43562340000003
sorted_degree,LP1_0,301,43,43.0,step7_301_sorted_degree_TIP3_O_exp.dat,257.9084178,179.0418693
sorted_degree,LP1_0,301,44,44.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.91088850000006,179.95405799999997
sorted_degree,LP1_0,301,45,45.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.0772817,180.38132760000002
sorted_degree,LP1_0,301,46,46.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.7672968,180.6008035
sorted_degree,LP1_0,301,47,47.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.3063049,180.64911469999998
sorted_degree,LP1_0,301,48,48.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.5940388,179.76467789999998
sorted_degree,LP1_0,301,49,49.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.3541329,180.5340634
sorted_degree,LP1_0,301,50,50.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.81150180000003,178.94318040000002
sorted_degree,LP1_0,301,51,51.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.8682616,179.8473046
sorted_degree,LP1_0,301,52,52.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.4215761,180.06102479999998
sorted_degree,LP1_0,301,53,53.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.14758500000005,178.3562934
sorted_degree,LP1_0,301,54,54.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.1194085,178.4252559
sorted_degree,LP1_0,301,55,55.0,step7_301_sorted_degree_TIP3_O_exp.dat,257.4130115,179.55042369999998
sorted_degree,LP1_0,301,56,56.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.3021111,179.64544519999998
sorted_degree,LP1_0,301,57,57.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.57803379999996,179.3224313
sorted_degree,LP1_0,301,58,58.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.2562068,180.0302284
sorted_degree,LP1_0,301,59,59.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.2510894,180.86884270000002
sorted_degree,LP1_0,301,60,60.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.6384808,180.2761583
sorted_degree,LP1_0,301,61,61.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.7735059,180.0070584
sorted_degree,LP1_0,301,62,62.0,step7_301_sorted_degree_TIP3_O_exp.dat,257.520414,179.9757909
sorted_degree,LP1_0,301,63,63.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.9615166,180.9189821
sorted_degree,LP1_0,301,64,64.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.0571296,180.5674462
sorted_degree,LP1_0,301,65,65.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.57120910000003,181.2253726
sorted_degree,LP1_0,301,66,66.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.3715618,179.6086099
sorted_degree,LP1_0,301,67,67.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.81171149999994,179.62960299999997
sorted_degree,LP1_0,301,68,68.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.01146120000004,180.83622230000003
sorted_degree,LP1_0,301,69,69.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.7481544,180.6902038
sorted_degree,LP1_0,301,70,70.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.0309359,181.18932800000002
sorted_degree,LP1_0,301,71,71.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.22458059999997,180.4904491
sorted_degree,LP1_0,301,72,72.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.7884912,179.8336645
sorted_degree,LP1_0,301,73,73.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.96850159999997,180.84982440000002
sorted_degree,LP1_0,301,74,74.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.2438264,180.1760864
sorted_degree,LP1_0,301,75,75.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.4893897,181.35226589999996
sorted_degree,LP1_0,301,76,76.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.69017279999997,181.60656279999998
sorted_degree,LP1_0,301,77,77.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.6691498,180.6537069
sorted_degree,LP1_0,301,78,78.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.09649160000004,180.2720133
sorted_degree,LP1_0,301,79,79.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.8604401,180.82206490000002
sorted_degree,LP1_0,301,80,80.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.3515503,180.34261250000003
sorted_degree,LP1_0,301,81,81.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.0779356,179.8019087
sorted_degree,LP1_0,301,82,82.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.59366850000004,181.1824397
sorted_degree,LP1_0,301,83,83.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.37051830000007,179.2789925
sorted_degree,LP1_0,301,84,84.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.6493994,179.2152717
sorted_degree,LP1_0,301,85,85.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.4260911,179.4885899
sorted_degree,LP1_0,301,86,86.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.12124430000006,179.8333394
sorted_degree,LP1_0,301,87,87.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.34136220000005,179.31310019999995
sorted_degree,LP1_0,301,88,88.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.5601074,180.45807349999998
sorted_degree,LP1_0,301,89,89.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.53621340000007,181.0058381
sorted_degree,LP1_0,301,90,90.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.37075550000003,179.07310569999999
sorted_degree,LP1_0,301,91,91.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.0153247,180.0947471
sorted_degree,LP1_0,301,92,92.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.28513819999995,180.03010460000002
sorted_degree,LP1_0,301,93,93.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.3169856999999,180.39586709999998
sorted_degree,LP1_0,301,94,94.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.9609337,180.793652
sorted_degree,LP1_0,301,95,95.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.5773937,179.9290984
sorted_degree,LP1_0,301,96,96.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.88010330000003,179.9644885
sorted_degree,LP1_0,301,97,97.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.47584870000003,180.06643129999998
sorted_degree,LP1_0,301,98,98.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.4333736,180.9803716
sorted_degree,LP1_0,301,99,99.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.05561530000006,179.85338539999998
sorted_degree,LP1_0,302,0,0.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.2612802,180.70186210000003
sorted_degree,LP1_0,302,1,1.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.44746829999997,179.87746069999997
sorted_degree,LP1_0,302,2,2.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.12556220000005,181.405853
sorted_degree,LP1_0,302,3,3.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.0077737,180.0287735
sorted_degree,LP1_0,302,4,4.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.24338789999996,181.5284206
sorted_degree,LP1_0,302,5,5.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.08378830000004,180.13266330000002
sorted_degree,LP1_0,302,6,6.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.14259419999996,179.6795894
sorted_degree,LP1_0,302,7,7.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.0586552,180.3926784
sorted_degree,LP1_0,302,8,8.0,step7_302_sorted_degree_TIP3_O_exp.dat,257.2259738,180.4117345
sorted_degree,LP1_0,302,9,9.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.6522964,180.9447551
sorted_degree,LP1_0,302,10,10.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.0687536,180.51211519999998
sorted_degree,LP1_0,302,11,11.0,step7_302_sorted_degree_TIP3_O_exp.dat,257.84216239999995,179.6869446
sorted_degree,LP1_0,302,12,12.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.67269450000003,180.9097068
sorted_degree,LP1_0,302,13,13.0,step7_302_sorted_degree_TIP3_O_exp.dat,257.4858136,178.59799560000002
sorted_degree,LP1_0,302,14,14.0,step7_302_sorted_degree_TIP3_O_exp.dat,256.2594425,178.38545449999998
sorted_degree,LP1_0,302,15,15.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.10907710000004,179.0536616
sorted_degree,LP1_0,302,16,16.0,step7_302_sorted_degree_TIP3_O_exp.dat,257.5378549,178.9986582
sorted_degree,LP1_0,302,17,17.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.73027510000003,179.283789
sorted_degree,LP1_0,302,18,18.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.0055486,179.9965024
sorted_degree,LP1_0,302,19,19.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.49173410000003,179.2521955
sorted_degree,LP1_0,302,20,20.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.47227899999996,179.1807446
sorted_degree,LP1_0,302,21,21.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.8057244,180.3395045
sorted_degree,LP1_0,302,22,22.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.04776089999996,180.09689550000002
sorted_degree,LP1_0,302,23,23.0,step7_302_sorted_degree_TIP3_O_exp.dat,256.95373870000003,179.6762654
sorted_degree,LP1_0,302,24,24.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.6556981,180.9872658
sorted_degree,LP1_0,302,25,25.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.05705950000004,180.4075585
sorted_degree,LP1_0,302,26,26.0,step7_302_sorted_degree_TIP3_O_exp.dat,256.8845546,180.3907544
sorted_degree,LP1_0,302,27,27.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.4714258,180.73965570000001
sorted_degree,LP1_0,302,28,28.0,step7_302_sorted_degree_TIP3_O_exp.dat,255.88667560000005,178.8802828
sorted_degree,LP1_0,302,29,29.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.53736530000003,179.04255310000002
sorted_degree,LP1_0,302,30,30.0,step7_302_sorted_degree_TIP3_O_exp.dat,257.1628419,180.1664637
sorted_degree,LP1_0,302,31,31.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.6390973,180.2309941
sorted_degree,LP1_0,302,32,32.0,step7_302_sorted_degree_TIP3_O_exp.dat,256.47532,178.7517605
sorted_degree,LP1_0,302,33,33.0,step7_302_sorted_degree_TIP3_O_exp.dat,257.83774009999996,179.67972149999997
sorted_degree,LP1_0,302,34,34.0,step7_302_sorted_degree_TIP3_O_exp.dat,255.68610070000005,178.7574539
sorted_degree,LP1_0,302,35,35.0,step7_302_sorted_degree_TIP3_O_exp.dat,257.7901589,179.5646447
sorted_degree,LP1_0,302,36,36.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.1962749,179.9486569
sorted_degree,LP1_0,302,37,37.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.5378612,179.1662547
sorted_degree,LP1_0,302,38,38.0,step7_302_sorted_degree_TIP3_O_exp.dat,256.9935071,179.01613819999997
sorted_degree,LP1_0,302,39,39.0,step7_302_sorted_degree_TIP3_O_exp.dat,256.0134379,178.73877149999998
sorted_degree,LP1_0,302,40,40.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.30739189999997,179.41328610000002
sorted_degree,LP1_0,302,41,41.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.3747376,179.67373609999999
sorted_degree,LP1_0,302,42,42.0,step7_302_sorted_degree_TIP3_O_exp.dat,256.4003411,178.19840849999997
sorted_degree,LP1_0,302,43,43.0,step7_302_sorted_degree_TIP3_O_exp.dat,256.1569381,179.911734
