dataset,case,step,frame_index_in_file,time,source_file,x_top10mean,y_rank450mean_ascending
sorted_degree,LP1_48,301,0,0.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.25614039999994,185.80909300000002
sorted_degree,LP1_48,301,1,1.0,step7_301_sorted_degree_TIP3_O_exp.dat,315.4248266,186.0722129
sorted_degree,LP1_48,301,2,2.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.6319131,185.1528462
sorted_degree,LP1_48,301,3,3.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.4105618,185.672143
sorted_degree,LP1_48,301,4,4.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.85301450000003,185.5707504
sorted_degree,LP1_48,301,5,5.0,step7_301_sorted_degree_TIP3_O_exp.dat,314.5723655,186.40909419999997
sorted_degree,LP1_48,301,6,6.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.8447644,185.7302709
sorted_degree,LP1_48,301,7,7.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.8466112,184.43432309999997
sorted_degree,LP1_48,301,8,8.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.13469510000004,183.5861053
sorted_degree,LP1_48,301,9,9.0,step7_301_sorted_degree_TIP3_O_exp.dat,314.50001,186.1455341
sorted_degree,LP1_48,301,10,10.0,step7_301_sorted_degree_TIP3_O_exp.dat,315.0570369,186.0753804
sorted_degree,LP1_48,301,11,11.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.9573624,184.89569390000003
sorted_degree,LP1_48,301,12,12.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.09986050000003,184.2318357
sorted_degree,LP1_48,301,13,13.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.49282780000004,185.2221033
sorted_degree,LP1_48,301,14,14.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.4657402,184.84257870000002
sorted_degree,LP1_48,301,15,15.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.8951693,185.8007304
sorted_degree,LP1_48,301,16,16.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.2622161,184.78432800000002
sorted_degree,LP1_48,301,17,17.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.62846260000003,186.54611319999998
sorted_degree,LP1_48,301,18,18.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.6861895999999,186.15957959999997
sorted_degree,LP1_48,301,19,19.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.2647925,187.31265349999998
sorted_degree,LP1_48,301,20,20.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.08134329999996,185.6153163
sorted_degree,LP1_48,301,21,21.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.68947390000005,185.3930307
sorted_degree,LP1_48,301,22,22.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.9122394,184.8920127
sorted_degree,LP1_48,301,23,23.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.91435390000004,185.3303224
sorted_degree,LP1_48,301,24,24.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.4850225,185.13525640000003
sorted_degree,LP1_48,301,25,25.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.1314223,184.26584259999998
sorted_degree,LP1_48,301,26,26.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.75963840000003,185.8096522
sorted_degree,LP1_48,301,27,27.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.8626798,185.2706747
sorted_degree,LP1_48,301,28,28.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.5136137,184.6590845
sorted_degree,LP1_48,301,29,29.0,step7_301_sorted_degree_TIP3_O_exp.dat,314.47677519999996,185.07273299999997
sorted_degree,LP1_48,301,30,30.0,step7_301_sorted_degree_TIP3_O_exp.dat,314.45526540000003,186.2530764
sorted_degree,LP1_48,301,31,31.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.22091800000004,184.6328103
sorted_degree,LP1_48,301,32,32.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.2822854,185.8899868
sorted_degree,LP1_48,301,33,33.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.74897139999996,185.01086180000001
sorted_degree,LP1_48,301,34,34.0,step7_301_sorted_degree_TIP3_O_exp.dat,315.652503,185.8622149
sorted_degree,LP1_48,301,35,35.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.6071794,185.03418270000003
sorted_degree,LP1_48,301,36,36.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.6524789,185.2585446
sorted_degree,LP1_48,301,37,37.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.1225932,185.5791941
sorted_degree,LP1_48,301,38,38.0,step7_301_sorted_degree_TIP3_O_exp.dat,307.7801343,183.891864
sorted_degree,LP1_48,301,39,39.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.2785258,185.34261669999998
sorted_degree,LP1_48,301,40,40.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.9170475,184.4950938
sorted_degree,LP1_48,301,41,41.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.4382765,184.9886935
sorted_degree,LP1_48,301,42,42.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.6389464,184.7582327
sorted_degree,LP1_48,301,43,43.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.60423069999996,184.15031000000002
sorted_degree,LP1_48,301,44,44.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.47775110000003,186.5653017
sorted_degree,LP1_48,301,45,45.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.3254904,183.0760695
sorted_degree,LP1_48,301,46,46.0,step7_301_sorted_degree_TIP3_O_exp.dat,314.4081836,185.5206298
sorted_degree,LP1_48,301,47,47.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.17345539999997,183.5621914
sorted_degree,LP1_48,301,48,48.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.5414307,184.4708225
sorted_degree,LP1_48,301,49,49.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.64162210000006,183.99641939999998
sorted_degree,LP1_48,301,50,50.0,step7_301_sorted_degree_TIP3_O_exp.dat,308.3746244,184.5907014
sorted_degree,LP1_48,301,51,51.0,step7_301_sorted_degree_TIP3_O_exp.dat,308.67862770000005,184.08523279999997
sorted_degree,LP1_48,301,52,52.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.2915772,183.598119
sorted_degree,LP1_48,301,53,53.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.7471886,184.44506109999998
sorted_degree,LP1_48,301,54,54.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.9751776,183.5079109
sorted_degree,LP1_48,301,55,55.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.2631539,184.0423667
sorted_degree,LP1_48,301,56,56.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.97306080000004,185.4381394
sorted_degree,LP1_48,301,57,57.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.17053780000003,182.88499960000001
sorted_degree,LP1_48,301,58,58.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.88613150000003,185.7463812
sorted_degree,LP1_48,301,59,59.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.2505699,184.30329609999998
sorted_degree,LP1_48,301,60,60.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.16383979999995,185.0187019
sorted_degree,LP1_48,301,61,61.0,step7_301_sorted_degree_TIP3_O_exp.dat,308.69450870000003,184.27275779999997
sorted_degree,LP1_48,301,62,62.0,step7_301_sorted_degree_TIP3_O_exp.dat,308.2810278,183.9122435
sorted_degree,LP1_48,301,63,63.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.3592821,184.0810872
sorted_degree,LP1_48,301,64,64.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.7961821,184.45581090000002
sorted_degree,LP1_48,301,65,65.0,step7_301_sorted_degree_TIP3_O_exp.dat,308.3624595,183.2120472
sorted_degree,LP1_48,301,66,66.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.9686328,184.4855432
sorted_degree,LP1_48,301,67,67.0,step7_301_sorted_degree_TIP3_O_exp.dat,307.8352736,183.6861357
sorted_degree,LP1_48,301,68,68.0,step7_301_sorted_degree_TIP3_O_exp.dat,316.31877670000006,184.8601845
sorted_degree,LP1_48,301,69,69.0,step7_301_sorted_degree_TIP3_O_exp.dat,309.1494563,183.81017110000002
sorted_degree,LP1_48,301,70,70.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.37184680000007,184.9799265
sorted_degree,LP1_48,301,71,71.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.8396005,184.2291026
sorted_degree,LP1_48,301,72,72.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.35917609999996,185.9713049
sorted_degree,LP1_48,301,73,73.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.29555089999997,185.03934329999998
sorted_degree,LP1_48,301,74,74.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.1844605,183.8161963
sorted_degree,LP1_48,301,75,75.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.2002199,185.67066540000002
sorted_degree,LP1_48,301,76,76.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.8623117,184.1753864
sorted_degree,LP1_48,301,77,77.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.3845427,186.0605274
sorted_degree,LP1_48,301,78,78.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.36318109999996,183.3442518
sorted_degree,LP1_48,301,79,79.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.0899645,185.12885950000003
sorted_degree,LP1_48,301,80,80.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.48321250000004,184.58403900000002
sorted_degree,LP1_48,301,81,81.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.86184289999994,183.5245013
sorted_degree,LP1_48,301,82,82.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.7391692,184.4601361
sorted_degree,LP1_48,301,83,83.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.0356519,183.37778229999998
sorted_degree,LP1_48,301,84,84.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.2060017,183.7753563
sorted_degree,LP1_48,301,85,85.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.0954208,184.16609169999998
sorted_degree,LP1_48,301,86,86.0,step7_301_sorted_degree_TIP3_O_exp.dat,308.8089395,183.71118189999999
sorted_degree,LP1_48,301,87,87.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.4619526,184.66626630000002
sorted_degree,LP1_48,301,88,88.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.5899201,184.95945260000002
sorted_degree,LP1_48,301,89,89.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.6473578,185.620355
sorted_degree,LP1_48,301,90,90.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.2385369,185.31190229999999
sorted_degree,LP1_48,301,91,91.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.4983854000001,185.5857952
sorted_degree,LP1_48,301,92,92.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.440853,184.5057329
sorted_degree,LP1_48,301,93,93.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.5184082,184.8956786
sorted_degree,LP1_48,301,94,94.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.3795282,184.0050163
sorted_degree,LP1_48,301,95,95.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.2511127,184.2297143
sorted_degree,LP1_48,301,96,96.0,step7_301_sorted_degree_TIP3_O_exp.dat,310.69951520000006,184.9602895
sorted_degree,LP1_48,301,97,97.0,step7_301_sorted_degree_TIP3_O_exp.dat,311.5385476999999,184.68054180000004
sorted_degree,LP1_48,301,98,98.0,step7_301_sorted_degree_TIP3_O_exp.dat,312.70240939999996,185.4163663
sorted_degree,LP1_48,301,99,99.0,step7_301_sorted_degree_TIP3_O_exp.dat,313.1668269,184.32879770000002
sorted_degree,LP1_48,302,0,0.0,step7_302_sorted_degree_TIP3_O_exp.dat,315.0817541,186.1285845
sorted_degree,LP1_48,302,1,1.0,step7_302_sorted_degree_TIP3_O_exp.dat,312.0860393,184.6524218
sorted_degree,LP1_48,302,2,2.0,step7_302_sorted_degree_TIP3_O_exp.dat,312.7660096,185.8404806
sorted_degree,LP1_48,302,3,3.0,step7_302_sorted_degree_TIP3_O_exp.dat,312.2633119,184.9966023
sorted_degree,LP1_48,302,4,4.0,step7_302_sorted_degree_TIP3_O_exp.dat,314.64407769999997,186.1366522
sorted_degree,LP1_48,302,5,5.0,step7_302_sorted_degree_TIP3_O_exp.dat,316.6028977,186.8871843
sorted_degree,LP1_48,302,6,6.0,step7_302_sorted_degree_TIP3_O_exp.dat,314.1414522,185.21597650000004
sorted_degree,LP1_48,302,7,7.0,step7_302_sorted_degree_TIP3_O_exp.dat,314.4776771,185.91711709999998
sorted_degree,LP1_48,302,8,8.0,step7_302_sorted_degree_TIP3_O_exp.dat,310.83593900000005,184.7394701
