epoch,train_noise_mse,val_noise_mse
1,0.5486968486485156,0.4296872928738594
2,0.43101122145625675,0.3965204030275345
3,0.40356244366954674,0.3882373347878456
4,0.37435461716218427,0.35080867558717727
5,0.33201797856864607,0.29544403254985807
6,0.2849365927448327,0.26515049785375594
7,0.2648408114910126,0.2496598020195961
8,0.25614044832235033,0.2514310859143734
9,0.24879520030861552,0.2507233791053295
10,0.25157031340693886,0.21897534728050233
11,0.24507844498889012,0.24491190388798714
12,0.24538574587892403,0.23670977875590324
13,0.24484577436338772,0.23413223400712013
14,0.24423781875520945,0.23902257531881332
15,0.24081228758123788,0.2425599418580532
16,0.24170605999163605,0.2376229554414749
17,0.24143809664317153,0.25231926441192626
18,0.2426508062265136,0.2396007739007473
19,0.2415136651728641,0.2373221769928932
20,0.23585479113865981,0.23578022569417953
21,0.2413901292972944,0.23195165172219276
22,0.24567067707804116,0.24337033331394195
23,0.2430262126197869,0.23014293760061263
24,0.24022273973307826,0.24153063893318177
25,0.23599249894984745,0.23859653994441032
26,0.23958685977215116,0.2516756899654865
27,0.24356415021148595,0.23300812244415284
28,0.23496849750253287,0.2361940212547779
29,0.23752987147732216,0.23145564794540405
30,0.2353330274027857,0.23912377655506134
31,0.24267977916381575,0.2361445277929306
32,0.2392515606162223,0.24081456065177917
33,0.23096888707104055,0.24350573346018792
34,0.239529305645688,0.2395579032599926
35,0.23843021411448717,0.23261046335101127
36,0.23630221052603287,0.24185671508312226
37,0.23847457140006803,0.2346906915307045
38,0.2422519571740519,0.23589369282126427
39,0.23868550080806017,0.24336057305335998
40,0.2378973321650516,0.23725048899650575
41,0.23871419866654006,0.24191839545965194
42,0.24109618382697756,0.2377019204199314
43,0.23685390773144635,0.23321415036916732
44,0.24362730607390404,0.24432539716362953
45,0.23774373836138032,0.2368537724018097
46,0.23746619119562887,0.23169588744640351
47,0.23548217507248576,0.23006533533334733
48,0.23659490446814083,0.24284121692180632
49,0.23752985657616096,0.23403226509690284
50,0.23851375628940083,0.2482201062142849
51,0.23783738538622856,0.23192036747932435
52,0.235914707691832,0.24562906995415687
53,0.2371796445751732,0.23719104677438735
54,0.23611154458062214,0.25034249722957613
55,0.23728790269656616,0.2382130354642868
56,0.2367889661003243,0.23303584083914758
57,0.23763885662298312,0.2394820585846901
58,0.2382945395498113,0.22536442726850509
59,0.232872797684236,0.24065597355365753
60,0.2343370309946212,0.24439655542373656
61,0.23735929331318897,0.23282544538378716
62,0.23606300667266955,0.23918604701757432
63,0.23664534735408696,0.24272446781396867
64,0.23915706253187222,0.2502282693982124
65,0.23700055962597782,0.23634627908468248
66,0.23555057927627454,0.2360728643834591
67,0.2358186584474011,0.24275543689727783
68,0.23718615341931581,0.23312686383724213
69,0.2379110036417842,0.2330381080508232
70,0.23872366564517672,0.23489802852272987
71,0.23739535369994966,0.2361571453511715
72,0.2359820750795982,0.23343057930469513
73,0.23695576377213,0.22236793041229247
74,0.23607854739847509,0.22237836793065072
75,0.23649191729385743,0.23642290011048317
76,0.2370493311265653,0.24386782571673393
77,0.23655642577531663,0.22650800049304962
78,0.23612022780897943,0.2330206148326397
79,0.23541268206794153,0.23593584895133973
80,0.23858995650979606,0.23762696459889412
81,0.23810729663819075,0.23808979839086533
82,0.2360904568975622,0.2383700542151928
83,0.23481574104252187,0.24536571875214577
84,0.23473558854311705,0.23014900758862494
85,0.2353551374240355,0.23288105875253678
86,0.23583045745776457,0.23196299076080323
87,0.23351166236468338,0.23046296909451486
88,0.23208909312432463,0.23655512407422066
89,0.23526389617472887,0.23854918479919435
90,0.23369461408054287,0.2429554805159569
91,0.23699438402598555,0.2308674469590187
92,0.23716445157135074,0.23591027408838272
93,0.2335392056371678,0.24274827614426614
94,0.2360661807893352,0.23441186770796776
95,0.23432419034229082,0.2313234828412533
96,0.2353560703552582,0.2301265373826027
97,0.23451007225296713,0.23479949980974196
98,0.23736420866440644,0.23191828429698944
99,0.23667511911216108,0.23991657868027688
100,0.2389365964653817,0.24856838583946228
